ID_ENTIDAD,MUNICIPIO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
10,001,CC_PAN_PRI,"DORA ELENA GONZALEZ TREMILLO","MARIA SILVIA RENTERIA BARRAZA"
10,001,C_PVEM_PT_MORENA,"MA DE LOS ANGELES ROJAS RIVERA","ALEJANDRA EDITH RUTIAGA ROSALES"
10,001,MC,"FRANCISCO ALBERTO VELAZQUEZ VENTURA","FRANCISCO ENRIQUEZ CALLEROS"
10,001,PESD,"MANUEL ERNESTO ARREOLA PEREZ","ROBERTO VILLA X"
10,001,PV,"JORGE LUIS GALLEGOS RUIZ",
10,001,PER,"MONICA AZUCENA DIAZ MONTAÑEZ","BERTHA ALICIA NEVAREZ MARTELL"
10,002,CC_PAN_PRI,"VERONICA JIMENEZ ZAVALA","SOLEDAD OSUNA VIZCARRA"
10,002,C_PVEM_PT_MORENA,"YAZMIN ARRIETA VIZCARRA","BLANCA ESTELA ROMERO CHAIREZ"
10,002,MC,"GERARDO RAUDEL HERNANDEZ CARRASCO","IRMA LIZET BELTRAN CARRASCO"
10,003,CC_PAN_PRI,"GERINO MORALES ARREOLA","GERARDO LOPEZ ARREOLA"
10,003,C_PVEM_PT_MORENA,"JAIME SOTO OCHOA","FELIX ALDACO PEREZ"
10,003,PESD,"FERNANDO JOSE MORALES MARIN","CARLOS MOLINA VARELA"
10,003,PV,"CRESCENCIO ARREOLA LOPEZ","ROSA ANGELICA REYES NEVAREZ"
10,004,CC_PAN_PRI,"EDITH BERNARDA OROZCO MACHADO","ANA TERESA SOLIS NAVARRETE"
10,004,C_PVEM_PT_MORENA,"NORMA ELIZABETH SOTELO OCHOA","LINDA SOLEM RIVAS GONZALEZ"
10,004,MC,"MA. CRISTINA FAVELA ANTE","CLAUDIA CONCEPCION GONZALEZ RAMIREZ"
10,004,PESD,"TRINIDAD MEDRANO AGUERO","JORGE IBARRA DEVORA"
10,004,PV,"ISABEL CRUZ CISNEROS","MA IRMA TAVAREZ TAVAREZ"
10,005,CC_PAN_PRI,"JOSE ANTONIO OCHOA RODRIGUEZ","HECTOR EDUARDO VELA VALENZUELA"
